"","Sample","PSMA1","PSMA3","PSMA4","PSMA5","PSMA7","PSMB1","PSMB2","PSMB3","PSMB4","PSMB5","PSMB6","PSMB7","PSMB8","PSMB9","PSMC2","PSMC3","PSMC4","PSMC5","PSMC6","PSMD1","PSMD3","PSMD4","PSMD5","PSMD6","PSMD7","PSMD8","PSMD10","PSMD11","PSMD12","PSMD13","PSMD14","PSME1","PSME2","PSME3","Subgroup","proteasome_mean"
"1","MB_SubtypeStudy_55001",7.8138186654904,8.1693554391714,9.21890369097778,6.98041401893883,8.21308719947756,8.63805789502579,9.55944371556636,8.54060798309464,9.6501322687846,8.67828114627506,10.3874005571131,9.28874353804644,4.39593949049457,6.16582814762624,9.45567230109727,8.5281745838756,9.79458961351079,7.67817549869836,7.39642824240131,9.76970033050765,8.43216545919448,5.75650066675254,8.44055037918,8.4452403716193,9.02618640761096,9.80445339684145,9.75275106545553,9.30873377797339,6.90477002731967,7.87144529924986,8.8027414561436,8.13059065888103,7.98833568276696,9.80592787333479,"SHH",8.43509255436757
"2","MB_SubtypeStudy_55002",6.41842419751675,8.20733584621439,8.57621784026193,8.03574416396135,8.60313914997811,8.84219625436785,9.56747896870982,9.62475656343083,9.84790290991939,8.97993351723447,10.6785065319898,9.24272377528522,4.1869086874769,5.67764188896083,10.1794874239193,8.32633239295282,9.74640748267346,8.71402749239454,7.90040605223133,9.70069935966366,9.15820830421247,6.74018021573396,8.2707343238341,8.15754955809562,9.1117155852756,9.97337935110307,9.50000289629505,9.88930613487319,7.3978190865998,7.31909303415347,8.93633948505933,8.17228570908217,9.32226635680484,10.1104599917594,"Group3",8.62104736858896
"3","MB_SubtypeStudy_55003",6.13910607212079,9.17072845626411,9.43739072870009,7.54341516036022,8.35750799542604,8.22962652358481,9.83260786877018,9.44520720752206,9.87541704288412,8.63979160868477,9.88386628860722,9.07541569636475,3.87490375676011,5.5383242446334,10.0446954968826,7.49760858688495,9.60401800641112,8.86709204585867,8.13542673552043,10.0487423935287,9.21396021913295,6.60737787944095,8.17114654546502,8.22588119719189,9.22552141269839,9.67546006977977,10.3239047605307,9.63953039110795,8.4131772164421,6.79444277108294,10.1387996852063,7.42454280411626,8.88596993315165,10.3607274908856,"Group4",8.59827453800005
"4","MB_SubtypeStudy_55004",7.34953909142549,8.28442249451603,8.48231132022752,7.14117279337224,8.02431988748703,8.05367787980125,9.65720638703736,8.95447519507313,10.0741500675821,8.14361126625984,9.2724656610295,9.0017778890507,4.21584628134862,5.76159903664525,9.44338175691439,7.94628001596613,9.09155738960303,8.70872242072237,7.84063175038977,9.61626588506589,9.16712943095305,6.28913373599441,8.26309322649667,8.13779845317249,9.41330876940485,9.36247062897808,9.84637897043355,9.78985837792704,8.2019412722335,7.66899924534206,8.63083222810496,7.60252313070062,8.50290392908288,9.66160598076788,"Group4",8.40004093673852
"5","MB_SubtypeStudy_55005",6.54243816118969,8.28210250184559,9.84604591475778,6.9840363742024,8.35447685798796,8.45745554492635,9.79721880112377,9.06578860232005,9.76662072171374,8.60725869812662,10.2347526850929,9.07701157885503,4.19646878449069,5.76896831590916,10.0107151759456,7.64945552579143,9.52155695837429,8.10474614539397,8.02931265042614,9.66574643576008,9.130903460059,6.27466674635691,8.58466239960488,7.54020217269197,8.73789449903699,9.55308632150984,9.82285363439621,9.90401331638511,7.92768404900347,7.14552770912838,8.49944625783623,7.06607232928904,7.90157859463974,10.4055423292056,"Group4",8.42518559568755
"6","MB_SubtypeStudy_55006",7.16046649823494,8.67591325612783,9.78179934510299,7.23479494226941,8.4639000314662,8.13903367067452,9.70861733161268,8.98801991016497,9.95210591749319,9.12727224532323,10.7721105958648,9.70027595775791,4.02313094517576,5.87772101500612,9.19616499518805,8.43233895283114,9.33696193316784,7.96290627068978,8.01127221328857,9.49966887190129,8.42230683216472,6.62868335885876,7.99281408992831,8.16657365088173,9.24241121605851,10.0219178316947,10.0404656301901,9.45103997965005,7.34247274683243,7.65720692465827,8.53554364607376,8.22529282594343,8.24310584730169,9.85225362563496,"SHH",8.52548715015331
"7","MB_SubtypeStudy_55007",7.12821627977286,8.70869360431074,10.1862592334205,7.14579323935587,8.71675241721479,8.79063965098698,10.1411105852905,8.49027877840786,10.0437073493342,8.82598476296819,10.2728586944983,9.94549487297348,3.97523824531888,5.34825685326819,9.38846536852637,8.65577977151517,9.33917198570487,8.84735185555195,7.72587077421244,9.27993085858474,8.53498749032407,6.52159374901571,4.93170244812357,7.81408106652266,8.99475335285892,9.97907664081302,10.3121929450542,9.00528899121377,8.20063264561803,7.85451184779793,9.56859367586762,8.26622456926535,8.21029456791867,9.32774309626652,"SHH",8.48463330199638
"8","MB_SubtypeStudy_55008",6.34831018161748,8.66913273712998,9.5361212980667,7.33637310191826,8.17678841295299,8.10965191012828,9.99790795273126,8.78029577705505,10.0576149654202,9.05982725584219,10.7330624201722,9.38448038326251,4.50196878982196,5.46504428219538,9.65446836779309,8.17642788873762,9.55036537310977,8.11675977940571,7.99843624046376,9.63096057312445,8.53578110945671,6.50391541641747,8.45064824848136,8.77056048060712,8.85295990443691,9.9529731840555,10.4193503979955,9.43929081033257,7.49598036388357,7.21567897849864,10.7082174196172,8.4056924693635,8.33596168711625,10.2611514538468,"Group3",8.60682822397229
"9","MB_SubtypeStudy_55009",5.98044381135499,8.63447162773107,9.2648288427341,7.28903662867795,8.08931739073843,8.32309277096825,9.75531992099467,8.6551127631744,9.86793635358357,8.50774984361426,10.435238445951,9.19797482136046,4.0490703702654,5.5745239517594,9.51457007837071,7.2945149319325,9.45002820453924,8.16473086803736,8.36284414733171,9.5475760170347,8.67577158018044,6.47145666488495,8.49444362850354,8.34085101857551,9.32035834546694,9.70773097131316,10.5534442118181,9.30862996960907,7.85667981024872,6.42153063761933,8.50770556994832,7.70245807052517,8.42234106837445,10.0057779078701,"Group4",8.40434003662035
"10","MB_SubtypeStudy_55010",7.93554226430108,8.44124013484335,9.2859109249678,7.17386685371632,8.39100495111813,8.49028980662866,9.49350719073792,8.78686848675517,10.0909676707511,8.95462876378885,10.6426245492282,9.3124693045239,4.94925657300053,6.66998683993459,9.5458502372834,8.40199952918661,9.69532903564217,8.12892758282645,7.80167148589009,9.73225125738121,8.74945886696698,6.4730805186882,7.89310573486145,8.04840870730999,9.26804127737767,10.2123892795115,10.2388763021085,9.4063631714003,7.45522903254835,7.33502540839725,8.41530194486077,8.06608927344678,8.15347973339943,10.0598767254009,"SHH",8.5793799829054
"11","MB_SubtypeStudy_55011",5.83082994746768,7.98707840763768,8.91344949981303,7.28006834404415,7.82681435031613,8.40428920677311,9.97600402611506,9.54476300865031,9.86196655900731,9.38030625159912,10.4081069468194,9.37785603302345,4.15085919709354,5.57580193472585,9.33166005039729,8.24636776596575,10.1837866949263,7.94004405216314,7.65664632344726,9.31114732769836,8.76366299517646,5.94331913085881,8.65084944773326,7.67279198672364,9.12700322885683,10.1213121698305,10.8017163634372,9.46275202827983,6.85177290822705,7.35761658526005,8.12897065854307,9.17113759192262,8.43083439112431,10.1846996950334,"WNT",8.4663613267262
"12","MB_SubtypeStudy_55012",7.63187998093724,8.72132018913946,9.97722711996654,7.42299075350154,8.4501570428324,8.39264370728683,9.58285989858095,9.24546455593146,10.2750805929758,9.26824954361036,10.9127059080089,9.01905245066509,6.0754655960456,8.8831560605205,9.36868903843855,8.21275371779414,9.67912242840174,8.21285101627096,8.11680607004971,9.29794834940635,8.60159653650855,5.86110884379203,8.41330149003359,7.90605932921823,9.24635546109645,9.97672258749446,10.3405314469615,9.34329368242084,6.99708620628424,7.72189289771548,8.46700528174315,8.97675557710561,8.74384889686535,9.83206116820737,"SHH",8.74041304193562
"13","MB_SubtypeStudy_55013",6.96592384120986,8.78112403576045,9.31615528301754,7.05682595206053,8.27151639470124,8.05591898867899,9.52998305450705,8.84921565823298,10.831685270127,9.56413144810198,10.1414634302181,8.82438517711044,4.29550890526661,6.47508457082482,9.40722319795843,7.89181038669815,9.46014346254463,7.50351742425538,8.40223588355115,8.65346846580024,8.41606883399794,6.87943776060153,8.776401095226,7.60939309255306,8.9470161555406,9.8637788448247,10.0011560804857,9.08519460783596,6.99070487463514,7.27279510221267,8.3433034896297,8.77863132274388,8.08446831172742,9.14262481059024,"SHH",8.42553809450677
"14","MB_SubtypeStudy_55014",5.88271538837094,8.34118796572655,9.7564459745636,7.22772968617467,7.8046517345167,8.50652099256157,9.80052794281001,9.48237145208342,9.83341651522205,8.89354770612463,10.6602884693553,9.61431251845032,4.15874110018849,5.63850588262842,10.198448485161,8.51152095289866,10.3290735905574,8.22087546603657,7.6242209737315,9.83665459045538,8.82026580847882,5.88264682726929,8.73489946381511,8.70564247076449,9.27063100636702,10.3935922614761,10.8203959889041,9.94797943993354,7.63558024618657,7.8202037195276,8.94351931360583,8.73136858372388,8.78768664471047,10.6429927636097,"WNT",8.6899753507644
"15","MB_SubtypeStudy_55015",6.46202043593309,8.48860505422767,9.66043897778418,7.39856923987982,8.3100767866756,8.10178240194041,9.76597682189458,8.75298869850771,10.0234956464538,8.98606894362282,10.7829189671906,8.90363468331885,4.00997706088553,6.02788158718636,9.3446168622373,8.52486265463197,9.51616120206228,8.36695106951317,7.87857474574951,9.47046539140724,8.98386073836025,6.35661872839135,4.8561573946101,7.86071402149758,9.39298753626221,9.70856617420087,10.0991476119667,9.3247226683047,7.31976911292754,7.83010815447669,8.44709961191896,8.69476649163234,8.40780179363591,9.75792087351213,"SHH",8.40636200419999
"16","MB_SubtypeStudy_55016",6.08440914842078,8.10448305471477,8.94082721498192,7.23561218692222,8.12540201879632,7.51946687309066,10.1493289998292,9.61864815967204,9.91656030912965,9.11664226172583,10.6564834722023,9.42421308690745,4.7168965153138,6.02804228807396,9.31434933586351,8.33979003401103,10.0285810429735,7.81162119026407,7.46551546541342,9.28551565839538,8.88305874796608,6.37288706138329,8.606735967407,7.64441663072465,9.21478302911562,10.1461215640686,10.4090538073565,9.61451895086607,6.82200482797531,7.68134644957708,8.28587607261613,9.05231594652107,9.26102671487043,10.0697107015326,"WNT",8.52783072907889
"17","MB_SubtypeStudy_55017",6.529622999296,7.87376807864266,9.48253238952375,7.48352840725598,7.8807376084805,8.0722188248802,10.2903644947218,8.7235591509343,10.1106051454644,9.03687880785818,9.49003931617912,9.32446797300365,4.55708638412941,5.83789924884228,9.31688157921767,7.69579455239141,9.35129008792834,8.52119888564823,7.72347752776861,9.17527200852555,9.03767261958459,6.56138542778158,7.87089754795841,8.20028251875646,9.08916978384731,9.11014275190877,9.67904068827411,9.2654531578994,7.55267253874052,7.1294696217104,9.51072999061631,7.62351454234907,8.22352315072216,9.00778728565214,"Group3",8.36291073813216
"18","MB_SubtypeStudy_55018",7.693131050973,8.39026538331871,9.16070359002609,7.1799204882469,8.03927357048314,8.51602926620648,9.61839670512708,8.59532052953239,9.58963956703263,8.72362488511365,10.7571804500828,9.13049349480406,4.71589732281142,5.68777379398618,9.69648013958635,7.98619891025873,9.69611024828352,8.21039592727133,8.00235266244278,9.62976816157138,8.65595417855477,6.06686863756818,8.49733328276154,9.06598004767705,9.26571582249214,9.8485684533289,10.1772947976258,9.39406310505629,7.72494695165092,7.20702265229349,10.6994400877035,8.39190798688627,8.28806723161787,9.90934971162077,"Group3",8.59445497335283
"19","MB_SubtypeStudy_55019",5.93039753410111,8.66264030449666,9.63867463919767,7.79972595233053,8.35027378122036,7.95566275406964,9.959933448692,9.06344287106423,10.0601585619952,9.05062278047936,10.5493801594843,9.02694601595136,4.02729493903668,5.34789531009408,10.1990367280378,7.9873438519583,9.07479498708816,8.6049991667529,8.26177936787472,9.65288765905841,9.18071197944966,6.25719918923757,8.78350270058428,7.66770609191789,9.51321791811695,9.21349651217337,10.8367022571796,9.93419114979348,8.14571880616488,7.66740806485483,8.62721737643872,7.85918746845136,8.50088385960218,10.5807837982599,"Group4",8.58740641132965
"20","MB_SubtypeStudy_55020",6.01008435152258,8.67411975344491,8.65050201644434,7.01025694650541,7.92747695987165,8.37075675108818,9.68918327136372,9.15891201892525,9.57893561294592,8.72822857034587,10.8188849684921,9.17124610639066,4.06482816088314,5.35242725104697,9.9377157001475,7.92942068337676,9.65343735786455,8.21911957597593,8.1523365168984,9.57229657794484,9.21462786596877,6.0580134260108,8.36711144884598,8.02002688789198,9.36051995499673,9.69022419398393,10.6139704534272,9.63030591803102,8.02323494748391,7.43685349110276,9.06297502711374,8.01741663885273,8.8124989067408,10.2940343663097,"Group4",8.50799949053643
"21","MB_SubtypeStudy_55021",6.73395123773118,7.87872813602161,9.18416282971528,7.1614052918729,7.87135409678011,8.0654642659556,9.68931220463786,8.73288808990254,9.70298910370223,8.07024219108899,9.90098555111649,8.76454344727332,4.4627450996924,6.47077771247349,9.6543729820814,7.86589657685845,9.29835282945003,8.3497503451517,7.63175298801332,9.57438536543419,9.02328387782857,6.21418508723235,8.02755961805011,7.60591302240709,9.2004172025393,8.87884851884472,10.1936301467144,9.79280622400102,7.70127888336572,7.33243419696859,8.55984168499548,7.91041740871898,9.08715592656729,9.79284809675922,"Group4",8.36425530117488
"22","MB_SubtypeStudy_55022",7.11463321636788,8.05813694599155,8.90564659847076,7.86849059502705,7.92266804984249,7.90414032335237,9.56287840937607,8.79890885400421,9.3550796637049,9.16004686846775,9.81699347028876,9.33928445119008,4.69450888258005,5.42768057809287,8.77539716647454,7.12390150441275,9.47543242471857,8.4368145134549,7.93591633521716,9.17572413068132,9.13603729451123,6.09725610601573,7.02311005086462,7.98690019560536,8.75303595483227,9.88480909272366,10.1894544427567,9.88407601234061,8.06377297653883,7.19262969157577,10.1571304477291,8.27562202507046,7.87494228891272,9.68213926212703,"Group3",8.38391761245059
"23","MB_SubtypeStudy_55023",5.76976191949848,8.33763591205888,9.2574395715576,7.68594180900877,8.35136734016429,9.00841887178957,9.7349795377873,9.91827588484503,10.0422659122054,8.65918562389332,10.3861469165534,9.36955135520271,4.27273216433364,5.69019979047221,10.1181768996835,8.36111433296474,9.8117743558543,9.08468710887509,8.6937243365621,9.78083894847821,9.28371911242294,6.44739183759635,8.65683260493294,8.66014153381239,8.71743710638926,10.253058462996,10.7906739787892,9.71637605011087,8.12134178046259,7.82960118216507,9.19958931813945,8.09341584207474,8.11632478928544,10.2960094882392,"Group3",8.72106269644721
"24","MB_SubtypeStudy_55024",6.27701790354534,8.38770519157837,9.64878121095247,6.87583560740634,8.09288430814614,8.20422162303324,10.0938930223226,9.15130055610079,10.1554795556295,9.80727242027644,11.4163945838174,9.48029200759248,4.79562831010955,6.54609603404748,9.64175174598131,8.46103513978401,9.65662441960198,8.59802443482274,7.90124344199858,9.52823784586983,8.91451755146709,6.63625651118878,8.94541343334559,8.76416507684961,9.25098584060456,10.0806140227108,10.8536435687594,9.8973318910182,8.03845095038447,7.26439072904957,10.0256520551553,8.91430212333984,7.90065216048059,10.5847990370989,"Group3",8.78796747982557
"25","MB_SubtypeStudy_55025",6.41138610986739,8.81910914429663,9.95611884569313,7.61412328820215,8.00367709861274,8.72381209917003,10.3890995496993,10.2371161803049,10.1131009166905,9.59006811540057,11.1913715568472,9.44690688578485,4.8472283230899,7.10475440121432,10.2276764605584,8.79748325591864,9.96521436399753,9.28063446050196,8.29468332713954,9.61404127404021,10.0686210486669,5.78684987592353,7.69377355476424,8.58666145129348,8.96404157367518,10.2023561533959,10.6762451615652,10.3701374654909,8.55680429354535,7.49368333845215,8.78917819085035,8.12927030112134,8.52972630515061,10.8777720633243,"Group4",8.92213901277204
"26","MB_SubtypeStudy_55026",6.50105331003947,8.5880748128486,9.02244630482081,7.25193427577659,7.61564498160092,8.51016488394147,9.9250227274081,8.76761621243027,10.0083885158053,8.1078216567214,9.58958691965312,8.46497732630746,4.09463173464061,5.56257341925205,9.88991827672161,7.96517918204241,9.46174266840538,8.33632343336928,8.03349539937376,9.57580103260026,9.17626819405965,6.62852261996874,8.35144417261687,8.1359560444523,9.20005739654733,9.55064976481003,10.2918758460448,9.84252990829993,8.14163425863969,6.95532976875294,10.2689371167938,7.75980428757705,8.18342597938332,10.308602553094,"Group4",8.47257161719998
"27","MB_SubtypeStudy_55027",7.60421665936905,8.086920829859,9.47441734435128,7.16848244116035,7.8959918476924,8.09386915862343,10.3791660990957,8.87402665677169,9.9417908521102,8.21868962965402,9.46980400613902,9.03578396665336,4.28981050897377,5.85171984668776,9.86937243525384,7.96245848890186,10.3878352374903,8.40330081328703,7.48907115833955,8.86471846459956,9.67528322628999,5.84877516438624,8.27611578370068,7.75647302168179,9.57016598356263,9.34917821257423,10.7777097428362,9.82022615584688,7.89536398905945,7.38982525660023,8.98147092334442,7.95940584605684,8.5504678957118,10.3255874369203,"Group4",8.51580867892897
"28","MB_SubtypeStudy_55028",5.69746062756996,8.76641362924196,9.49890016232844,7.46740638109955,8.50043477921614,8.35812317867002,9.66229954008843,9.31954959407794,10.2108854325515,9.80599852544993,10.6567652129474,9.35525142480184,3.95228463784786,5.38009994375351,9.90146324790176,8.1594045500845,9.81046572800427,8.63737076851146,8.57671322830815,9.54719195013398,9.0652795752683,6.75268693320866,8.20851780357617,8.16263635691199,9.17375405426913,9.72799724435105,10.0870619948172,9.67085803089916,7.3711321277061,7.65158690778473,9.1627155324715,8.50237853664328,9.49776329042592,10.054845263117,"Group3",8.65746165276585
