"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","Subgroup","SHH","Group3",0,0.147049994676058,0.103123065143511,0.190976924208605,0,"****"
"2","Subgroup","SHH","Group4",0,0.0314106997972221,-0.00429655261052234,0.0671179522049666,0.107,"ns"
"3","Subgroup","SHH","WNT",0,0.127927637031094,0.0716334111390284,0.18422186292316,3.74e-08,"****"
"4","Subgroup","Group3","Group4",0,-0.115639294878836,-0.156753355861874,-0.0745252338957974,0,"****"
"5","Subgroup","Group3","WNT",0,-0.0191223576449637,-0.0789921998427979,0.0407474845528704,0.844,"ns"
"6","Subgroup","Group4","WNT",0,0.0965169372338721,0.0423890263084859,0.150644848159258,3.05e-05,"****"
